date,orbit,vv_mean_db,vv_min_db,vv_max_db,vv_std_db,vh_mean_db,vh_min_db,vh_max_db,vh_std_db,vh_vv_ratio_db,valid_fraction,scene_id
2025-05-24,ascending,-12.380282402038574,-33.16848373413086,-0.9208500385284424,3.1019718647003174,-18.7739200592041,-100.0,-8.569091796875,3.5038750171661377,-6.393637657165527,1.0,S1C_IW_GRDH_1SDV_20250524T161631_20250524T161656_002475_0052AC_2D5D_COG.SAFE
2025-05-30,ascending,-11.494491577148438,-26.444684982299805,2.8833982944488525,3.038891315460205,-17.779029846191406,-100.0,-7.290592670440674,4.91956901550293,-6.284538269042969,1.0,S1A_IW_GRDH_1SDV_20250530T161754_20250530T161819_059426_07605F_0E73_COG.SAFE
2025-06-05,ascending,-11.340097427368164,-25.165939331054688,0.49874937534332275,2.9983620643615723,-17.455474853515625,-100.0,-7.142502784729004,3.4866251945495605,-6.115377426147461,1.0,S1C_IW_GRDH_1SDV_20250605T161631_20250605T161656_002650_0057B2_F3F0_COG.SAFE
2025-06-11,ascending,-11.612950325012207,-33.41566848754883,-0.9326237440109253,2.9023547172546387,-17.870986938476562,-100.0,-7.68013334274292,5.108699798583984,-6.2580366134643555,1.0,S1A_IW_GRDH_1SDV_20250611T161754_20250611T161819_059601_076656_93A7_COG.SAFE
2025-06-17,ascending,-11.872601509094238,-26.72128677368164,-0.7158159613609314,2.7748613357543945,-18.030292510986328,-100.0,-8.614744186401367,3.3428430557250977,-6.15769100189209,1.0,S1C_IW_GRDH_1SDV_20250617T161632_20250617T161657_002825_005CC0_484A_COG.SAFE
2025-06-23,ascending,-11.92394733428955,-25.49346351623535,-1.3718510866165161,2.8555052280426025,-18.0233097076416,-100.0,-6.789984703063965,4.861607074737549,-6.099362373352051,1.0,S1A_IW_GRDH_1SDV_20250623T161753_20250623T161818_059776_076C62_6A22_COG.SAFE
2025-06-29,ascending,-12.158841133117676,-30.40220832824707,-2.1478195190429688,2.9131503105163574,-18.366762161254883,-100.0,-7.396332740783691,3.4929189682006836,-6.207921028137207,1.0,S1C_IW_GRDH_1SDV_20250629T161632_20250629T161657_003000_0061C8_8016_COG.SAFE
2025-07-05,ascending,-12.231351852416992,-30.06481170654297,-2.8627731800079346,2.8696186542510986,-18.771886825561523,-100.0,-8.085034370422363,6.059246063232422,-6.540534973144531,1.0,S1A_IW_GRDH_1SDV_20250705T161752_20250705T161817_059951_077278_425D_COG.SAFE
2025-07-11,ascending,-11.957901000976562,-25.105539321899414,-1.9704686403274536,3.0074284076690674,-18.291568756103516,-100.0,-8.614954948425293,3.2549195289611816,-6.333667755126953,1.0,S1C_IW_GRDH_1SDV_20250711T161633_20250711T161658_003175_0066DA_AB44_COG.SAFE
2025-07-17,ascending,-10.450801849365234,-25.06035041809082,0.29522401094436646,2.817521572113037,-16.416744232177734,-100.0,-6.85344123840332,3.7724783420562744,-5.9659423828125,1.0,S1A_IW_GRDH_1SDV_20250717T161752_20250717T161817_060126_07787B_8829_COG.SAFE
2025-07-23,ascending,-12.259439468383789,-28.91250991821289,-0.8347238898277283,3.004636287689209,-18.307527542114258,-100.0,-8.829679489135742,3.5949244499206543,-6.048088073730469,1.0,S1C_IW_GRDH_1SDV_20250723T161634_20250723T161659_003350_006BEB_A30B_COG.SAFE
2025-07-29,ascending,-10.371932029724121,-25.534439086914062,0.928421676158905,2.959986925125122,-16.419174194335938,-100.0,-6.693330764770508,3.751985549926758,-6.047242164611816,1.0,S1A_IW_GRDH_1SDV_20250729T161752_20250729T161817_060301_077E7F_5B04_COG.SAFE
2025-08-04,ascending,-12.124895095825195,-25.499540328979492,-2.029320240020752,2.9226877689361572,-18.484373092651367,-100.0,-8.95827579498291,3.241328716278076,-6.359477996826172,1.0,S1C_IW_GRDH_1SDV_20250804T161635_20250804T161700_003525_00710E_3987_COG.SAFE
2025-08-16,ascending,-12.653614044189453,-25.87618064880371,-2.9423677921295166,2.9211018085479736,-18.679563522338867,-100.0,-6.931268215179443,3.540616512298584,-6.025949478149414,1.0,S1C_IW_GRDH_1SDV_20250816T161635_20250816T161700_003700_00764F_EF20_COG.SAFE
2025-08-22,ascending,-12.863606452941895,-29.232423782348633,-2.8822057247161865,3.055137872695923,-19.635520935058594,-100.0,-9.044498443603516,6.957424163818359,-6.771914482116699,1.0,S1A_IW_GRDH_1SDV_20250822T161752_20250822T161817_060651_078BC8_3676_COG.SAFE
2025-08-28,ascending,-13.29258918762207,-26.73577117919922,-2.661882162094116,3.1812000274658203,-19.507171630859375,-100.0,-8.699158668518066,4.4121479988098145,-6.214582443237305,1.0,S1C_IW_GRDH_1SDV_20250828T161636_20250828T161701_003875_007B8C_9EE7_COG.SAFE
2025-09-03,ascending,-12.12597942352295,-31.78348159790039,-0.8981886506080627,3.3363144397735596,-18.51422119140625,-100.0,-7.7873101234436035,5.349338531494141,-6.388241767883301,1.0,S1A_IW_GRDH_1SDV_20250903T161752_20250903T161817_060826_0792AF_97B9_COG.SAFE
2025-09-09,ascending,-11.293314933776855,-25.507265090942383,2.4186527729034424,3.233771562576294,-17.475263595581055,-100.0,-8.572137832641602,3.143489122390747,-6.181948661804199,1.0,S1C_IW_GRDH_1SDV_20250909T161636_20250909T161701_004050_0080D6_FEFC_COG.SAFE
2025-09-15,ascending,-11.866846084594727,-27.713314056396484,0.5500274300575256,3.261455535888672,-18.568613052368164,-100.0,-8.120331764221191,5.753437042236328,-6.7017669677734375,1.0,S1A_IW_GRDH_1SDV_20250915T161752_20250915T161817_061001_0799B6_978E_COG.SAFE
2025-09-21,ascending,-11.799276351928711,-26.737686157226562,-0.11114916950464249,3.0952999591827393,-18.297714233398438,-100.0,-7.733059883117676,3.956014394760132,-6.498437881469727,1.0,S1C_IW_GRDH_1SDV_20250921T161637_20250921T161702_004225_008625_F676_COG.SAFE
2025-09-21,ascending,-11.799276351928711,-26.737686157226562,-0.11114916950464249,3.0952999591827393,-18.297714233398438,-100.0,-7.733059883117676,3.956014394760132,-6.498437881469727,1.0,S1C_IW_GRDH_1SDV_20250921T161637_20250921T161702_004225_008625_3109_COG.SAFE
2025-09-27,ascending,-12.628647804260254,-100.0,-1.7960355281829834,3.2711293697357178,-19.722898483276367,-100.0,-8.751579284667969,7.133829593658447,-7.094250679016113,1.0,S1A_IW_GRDH_1SDV_20250927T161752_20250927T161817_061176_07A0BB_6119_COG.SAFE
2025-10-03,ascending,-11.032273292541504,-22.531356811523438,0.014414211735129356,3.019726514816284,-17.209918975830078,-100.0,-7.731650352478027,3.2302026748657227,-6.177645683288574,1.0,S1C_IW_GRDH_1SDV_20251003T161637_20251003T161702_004400_008B7B_8B78_COG.SAFE
2025-10-09,ascending,-11.57796859741211,-26.691177368164062,0.7965303659439087,3.153571844100952,-18.561323165893555,-100.0,-8.272520065307617,6.1751837730407715,-6.983354568481445,1.0,S1A_IW_GRDH_1SDV_20251009T161753_20251009T161818_061351_07A7CC_65B1_COG.SAFE
2025-10-15,ascending,-11.834487915039062,-27.768104553222656,0.5719448924064636,3.2339248657226562,-18.63449478149414,-100.0,-8.700860977172852,4.191193580627441,-6.800006866455078,1.0,S1C_IW_GRDH_1SDV_20251015T161637_20251015T161702_004575_0090C9_7881_COG.SAFE
2025-10-21,ascending,-12.05618953704834,-100.0,-1.0474801063537598,3.2672882080078125,-19.51996612548828,-100.0,-8.749707221984863,7.617806434631348,-7.463776588439941,1.0,S1A_IW_GRDH_1SDV_20251021T161752_20251021T161817_061526_07AED4_051C_COG.SAFE
2025-10-27,ascending,-11.862098693847656,-30.27362823486328,-1.2207711935043335,3.193082571029663,-18.646934509277344,-100.0,-7.809101104736328,4.09891414642334,-6.7848358154296875,1.0,S1C_IW_GRDH_1SDV_20251027T161637_20251027T161702_004750_009613_0E8A_COG.SAFE
2025-11-02,ascending,-11.640287399291992,-29.05720329284668,0.049396298825740814,3.3398687839508057,-18.737180709838867,-100.0,-7.3244194984436035,6.827322483062744,-7.096893310546875,1.0,S1A_IW_GRDH_1SDV_20251102T161752_20251102T161817_061701_07B5C9_BDD6_COG.SAFE
2025-11-08,ascending,-11.216154098510742,-24.922603607177734,-1.3479903936386108,2.9924867153167725,-17.554433822631836,-100.0,-7.926194667816162,3.4381628036499023,-6.338279724121094,1.0,S1C_IW_GRDH_1SDV_20251108T161636_20251108T161701_004925_009BDA_8F98_COG.SAFE
